,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,feature,cluster,group.1,significant
TRAV21_CD8 T-Cell,0,11.79819156248,0.999,0.001,0,TRAV21,CD8 T-Cell,Cl_1_3,TRUE
TRBV5-1_CD8 T-Cell,0,-11.9596560723552,0.004,1,0,TRBV5-1,CD8 T-Cell,Cl_1_3,TRUE
TRBV27_CD8 T-Cell,0,11.1985630672078,1,0.005,0,TRBV27,CD8 T-Cell,Cl_1_3,TRUE
TRAV29DV5_CD8 T-Cell,0,-11.1428728329902,0.001,0.992,0,TRAV29DV5,CD8 T-Cell,Cl_1_3,TRUE
TRAV39_CD8 T-Cell,0,10.8261726211789,0.9,0.002,0,TRAV39,CD8 T-Cell,Cl_1_3,TRUE
LYAR_CD8 T-Cell,0,-3.79852819893633,0.133,0.883,0,LYAR,CD8 T-Cell,Cl_1_3,TRUE
TRBC1_CD8 T-Cell,0,-8.08162009421918,0.005,0.754,0,TRBC1,CD8 T-Cell,Cl_1_3,TRUE
KLRG1_CD8 T-Cell,0,-4.04614351712999,0.088,0.803,0,KLRG1,CD8 T-Cell,Cl_1_3,TRUE
ITGB1_CD8 T-Cell,0,4.33162006921065,0.888,0.181,0,ITGB1,CD8 T-Cell,Cl_1_3,TRUE
LINC01934_CD8 T-Cell,0,-2.93321119953141,0.238,0.922,0,LINC01934,CD8 T-Cell,Cl_1_3,TRUE
LAG3_CD8 T-Cell,0,-3.4503749819739,0.106,0.72,0,LAG3,CD8 T-Cell,Cl_1_3,TRUE
HLA-DQA1_CD8 T-Cell,0,3.69393507563511,0.965,0.374,0,HLA-DQA1,CD8 T-Cell,Cl_1_3,TRUE
HLA-DQB1_CD8 T-Cell,0,3.19036729997783,0.94,0.433,0,HLA-DQB1,CD8 T-Cell,Cl_1_3,TRUE
HLA-DRA_CD8 T-Cell,0,3.25766837787771,0.974,0.484,0,HLA-DRA,CD8 T-Cell,Cl_1_3,TRUE
HLA-DRB1_CD8 T-Cell,0,2.52493407006608,0.999,0.908,0,HLA-DRB1,CD8 T-Cell,Cl_1_3,TRUE
CD74_CD8 T-Cell,0,1.39293186685706,1,0.998,0,CD74,CD8 T-Cell,Cl_1_3,TRUE
LINC02446_CD8 T-Cell,7.55656918709482e-290,5.42070894243042,0.816,0.052,2.76585545386045e-285,LINC02446,CD8 T-Cell,Cl_1_3,TRUE
